symbol,timestamp,open,high,low,close,volume
GME,2021-01-11T19:00:00Z,19.95,20.06,19.94,20.06,11041
GME,2021-01-11T20:00:00Z,20.06,20.15,20,20.1,8991
GME,2021-01-12T05:00:00Z,20.1,20.1,20,20,561
GME,2021-01-12T06:00:00Z,20.28,20.28,20,20,544
GME,2021-01-12T07:00:00Z,20.25,20.25,20.09,20.23,2040
GME,2021-01-12T08:00:00Z,20.1,20.23,20,20,5423
GME,2021-01-12T09:00:00Z,20.2399,20.24,19.95,19.9701,36578
GME,2021-01-12T10:00:00Z,20.01,20.4,19.3168,19.61,1613298
GME,2021-01-12T11:00:00Z,19.6,20.25,19.45,20.195,1487527
GME,2021-01-12T12:00:00Z,20.2,20.2078,19.83,20.0399,834006
GME,2021-01-12T13:00:00Z,20.036,20.1289,19.78,20.1272,678802
GME,2021-01-12T14:00:00Z,20.12,20.16,19.845,19.865,664413
GME,2021-01-12T15:00:00Z,19.86,19.969,19.751,19.7926,560000
GME,2021-01-12T16:00:00Z,19.79,20.04,19.71,19.94,1096754
GME,2021-01-12T17:00:00Z,19.95,20.14,19.91,20,41509
GME,2021-01-12T18:00:00Z,20.13,20.15,20,20.03,9233
GME,2021-01-12T19:00:00Z,20,20.0999,19.95,20.0999,10448
GME,2021-01-12T20:00:00Z,20,20.15,19.96,20.15,3932
GME,2021-01-13T05:00:00Z,20.15,20.15,20.15,20.15,120
GME,2021-01-13T07:00:00Z,20.36,20.36,20.36,20.36,291
GME,2021-01-13T08:00:00Z,20.1,20.47,20.08,20.32,19398
GME,2021-01-13T09:00:00Z,20.2499,20.61,20.17,20.39,55730
GME,2021-01-13T10:00:00Z,20.36,23.4,20.03,22.91,4821138
GME,2021-01-13T11:00:00Z,22.93,29.1,22.78,28.646,24920053
GME,2021-01-13T12:00:00Z,28.6301,38.65,28.53,31.75,46882403
GME,2021-01-13T13:00:00Z,31.7501,34.6841,30.1,34.31,29772796
GME,2021-01-13T14:00:00Z,34.29,34.93,31.555,33.52,16105769
GME,2021-01-13T15:00:00Z,33.465,34.38,32.15,33.025,10654062
GME,2021-01-13T16:00:00Z,33.03,33.24,30.7,31.44,10109770
GME,2021-01-13T17:00:00Z,31.3998,31.98,30.52,31.25,598436
GME,2021-01-13T18:00:00Z,31.38,33,31.26,32.02,317556
GME,2021-01-13T19:00:00Z,32.12,32.95,32.12,32.44,121471
GME,2021-01-13T20:00:00Z,32.49,32.9,32.2,32.8,92610
GME,2021-01-14T05:00:00Z,33.48,38.2,33.2,37.51,130187
GME,2021-01-14T06:00:00Z,37.57,37.85,35.65,36,70687
GME,2021-01-14T07:00:00Z,35.99,36.34,35,36,47107
GME,2021-01-14T08:00:00Z,36,39.75,35.5,36.7,1074535
GME,2021-01-14T09:00:00Z,35.9974,39.74,35.2,36.55,1339017
GME,2021-01-14T10:00:00Z,36.5501,38.77,33.05,35.14,15640680
GME,2021-01-14T11:00:00Z,35.16,37.11,33.56,35.2236,12014476
GME,2021-01-14T12:00:00Z,35.21,37.24,35.12,36.88,9829520
GME,2021-01-14T13:00:00Z,36.885,43.06,36.55,37.9999,23201998
GME,2021-01-14T14:00:00Z,37.96,41.5,37.77,38.91,11586736
GME,2021-01-14T15:00:00Z,38.985,40.41,38.21,39.275,7037858
GME,2021-01-14T16:00:00Z,39.2941,40.03,37.6,39.9184,10174355
GME,2021-01-14T17:00:00Z,40,40.1,38.57,39.63,793473
GME,2021-01-14T18:00:00Z,39.55,43.57,39.54,42.34,864011
GME,2021-01-14T19:00:00Z,42.4,43.06,41.45,41.94,309114
GME,2021-01-14T20:00:00Z,41.9,42.5,41.76,42,164070
GME,2021-01-15T05:00:00Z,42.2,42.5,40.57,41.8,39822
GME,2021-01-15T06:00:00Z,41.85,41.93,40.2,40.2,13880
GME,2021-01-15T07:00:00Z,40.5,40.99,40.15,40.74,11083
GME,2021-01-15T08:00:00Z,40.82,41.55,38.01,38.49,300678
GME,2021-01-15T09:00:00Z,38.5,41.5,36.52,38.3,474064
GME,2021-01-15T10:00:00Z,38.277,41.4899,37.05,37.3947,8985187
GME,2021-01-15T11:00:00Z,37.384,38.38,35.17,36.62,9719064
GME,2021-01-15T12:00:00Z,36.615,37.01,34.1,34.21,5824286
GME,2021-01-15T13:00:00Z,34.2765,36.67,34.01,35.8156,5370772
