,BB,BB,BB,BB,BB,BB,AMC,AMC,AMC,AMC,AMC,AMC,GME,GME,GME,GME,GME,GME
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,
2020-12-17,8.118900299072266,8.130000114440918,8.029999732971191,8.064200401306152,8.064200401306152,2511051,2.819999933242798,2.950000047683716,2.809999942779541,2.9482998847961426,2.9482998847961426,6072710,14.0,14.300000190734863,13.925000190734863,14.25,14.25,649095
2020-12-17,8.069999694824219,8.140000343322754,8.0600004196167,8.125,8.125,1343867,2.950000047683716,2.950000047683716,2.9000000953674316,2.9052000045776367,2.9052000045776367,2737934,14.25,14.555000305175781,14.229999542236328,14.517800331115723,14.517800331115723,1413182
2020-12-17,8.119999885559082,8.140000343322754,8.071499824523926,8.09850025177002,8.09850025177002,858155,2.9014999866485596,2.9100000858306885,2.799999952316284,2.859999895095825,2.859999895095825,3088608,14.510000228881836,14.640000343322754,14.281200408935547,14.3100004196167,14.3100004196167,793723
2020-12-17,8.09939956665039,8.15999984741211,8.09000015258789,8.100000381469727,8.100000381469727,1139717,2.859999895095825,2.859999895095825,2.759999990463257,2.815999984741211,2.815999984741211,2450882,14.289999961853027,14.720000267028809,14.289999961853027,14.663000106811523,14.663000106811523,595182
2020-12-17,8.100000381469727,8.229999542236328,8.095000267028809,8.219900131225586,8.219900131225586,2069091,2.815000057220459,2.819999933242798,2.799999952316284,2.815000057220459,2.815000057220459,1521981,14.670000076293945,14.880000114440918,14.652199745178223,14.859999656677246,14.859999656677246,989440
2020-12-17,8.21500015258789,8.270000457763672,8.1899995803833,8.253800392150879,8.253800392150879,3198569,2.819999933242798,2.8499999046325684,2.809999942779541,2.839900016784668,2.839900016784668,2389632,14.859999656677246,14.979999542236328,14.779999732971191,14.829999923706055,14.829999923706055,1808592
2020-12-18,7.829999923706055,7.829999923706055,7.440000057220459,7.485000133514404,7.485000133514404,13429712,2.8499999046325684,2.8499999046325684,2.7799999713897705,2.7899999618530273,2.7899999618530273,4600489,15.779999732971191,15.949999809265137,15.180000305175781,15.429900169372559,15.429900169372559,4242539
2020-12-18,7.485000133514404,7.489999771118164,7.079999923706055,7.167799949645996,7.167799949645996,10010240,2.79010009765625,2.799999952316284,2.7799999713897705,2.7799999713897705,2.7799999713897705,1959814,15.430000305175781,16.18000030517578,15.40999984741211,15.874500274658203,15.874500274658203,2666383
2020-12-18,7.164999961853027,7.28000020980835,7.130000114440918,7.270100116729736,7.270100116729736,5894433,2.7850000858306885,2.8299999237060547,2.7799999713897705,2.7918999195098877,2.7918999195098877,1890731,15.880000114440918,16.110000610351562,15.739999771118164,15.832599639892578,15.832599639892578,1505219
2020-12-18,7.275000095367432,7.289999961853027,7.119999885559082,7.144999980926514,7.144999980926514,3843768,2.7985000610351562,2.809999942779541,2.7899999618530273,2.7950000762939453,2.7950000762939453,1252500,15.842100143432617,15.960000038146973,15.710000038146973,15.920000076293945,15.920000076293945,937619
2020-12-18,7.144999980926514,7.150000095367432,7.010000228881836,7.045000076293945,7.045000076293945,4295268,2.799999952316284,2.819999933242798,2.7799999713897705,2.7850000858306885,2.7850000858306885,2111784,15.899999618530273,16.132099151611328,15.880000114440918,16.06999969482422,16.06999969482422,1223727
2020-12-18,7.045000076293945,7.070000171661377,6.949999809265137,7.005000114440918,7.005000114440918,5027380,2.7850000858306885,2.7899999618530273,2.759999990463257,2.765000104904175,2.765000104904175,2159487,16.06999969482422,16.299999237060547,15.489999771118164,15.600299835205078,15.600299835205078,2096292
